source_id,ra,dec,phot_g_mean_mag,bp_rp,pmra,pmdec
2851858288640,45.132144414036745,0.1378535532444834,12.356248,0.81036854,4.722163881935847,18.657223456570794
132667245587072,45.0727955724553,0.969970782487376,7.4750457,1.2528615,29.432375835260864,-93.78045808765805
336965954409856,44.5556691433088,1.1817372660459278,11.119994,1.5878792,0.54906472418525,-2.8382474695019364
383836933163520,43.80673496392763,1.3302990071673106,11.561577,0.70817184,23.002898710963642,-10.683898806715346
445237785398912,44.77506952817784,1.510459877852653,9.82194,1.4788389,4.376024298856095,-9.850996730565125
458844241844352,45.268937647249174,1.5632481428309155,9.835661,1.3138237,-4.675955541257631,-10.259970197829874
502137512125056,44.87843987492379,1.7186961805087742,12.089806,0.81565094,9.166640411890178,-9.642375909600437
565943546370432,46.55966020891284,1.3538821127904828,11.877888,1.014308,-35.93993834715745,-13.596894945809305
645516404728064,46.26556550530389,1.7808615760436424,11.651654,0.68870926,-10.248981069052402,-4.037286095219881
662490115933312,46.20173908865313,1.9266802022350298,11.66687,1.294074,-9.686105428731334,-13.284062026514352
693860557058688,46.17439900052253,2.1375390122879345,11.8260975,0.8485918,-2.1335580801225205,-25.25144758661561
714957435975040,47.352500381830005,2.0452319463308237,10.265662,1.2138367,-6.6043495885132195,-5.4815026216539655
724543802977664,47.064129603438545,2.120499429857489,12.060902,1.1744242,3.570810527054137,2.3974256295518157
740078700441984,47.42171877928575,2.153813152423224,10.66761,0.7840824,-14.038062199511337,0.4284406456238888
740830319452928,47.45110989954596,2.2054566737348864,10.966603,0.13231659,2.263022542487931,-8.181191753775703
1971127553493524224,322.9736298035531,45.11162658168297,10.796559,3.5957232,-4.544117683357232,-2.2751890932016687
1971130302263914496,322.85605579248164,45.16704523479548,10.793772,1.3433666,104.47992588214275,47.32887928079798
1971145832876445952,323.66568614599396,45.382881780901855,10.521192,0.31318665,-0.14351296365818655,-2.1124491366476743
1971165692803892992,323.2798208425964,45.57666773301316,10.942096,1.0194502,48.31378283581867,35.67945305455671
1971170984200991872,321.6383594408177,44.32116535021681,11.927532,1.7416935,-4.27510277103376,-3.565508157820932
1971180501848443776,321.98789053386014,44.564932630517696,11.147455,0.56061935,0.6854347299682388,-2.7945487019207875
1971181326482107136,322.0331182099717,44.63870209472255,12.134844,1.7864466,53.60366089260016,63.20352157125954
1971183078828733312,321.82657804164626,44.574674076877855,11.322599,0.6619549,7.917513755570797,3.622602296933533
1971191084647553920,321.5863949047707,44.668968384219575,11.44166,0.8639126,-25.19253221959425,-47.99873078977839
1971205447022113792,322.1412288207513,44.710939087230905,10.785333,1.6200762,8.773236637943748,3.8903425880735227
1971208470666242816,322.2308838294666,44.852771574703716,10.87846,3.255084,-1.1129686419410276,-2.589206809905436
1971225650545226240,321.97220744740366,44.985938395171914,12.306632,0.6235695,1.775456271737748,0.0026113815562796407
1971227368532113664,321.86341501793186,45.008601037010834,12.059287,4.3226995,-4.578673664394837,-4.263817720304352
1971233518925883648,322.23097781754353,45.16807988146552,10.709828,0.3426447,3.859155058541744,-2.956597400461242
1971238806019841664,322.10141710651146,45.28354987917391,12.036596,0.45357895,-2.104762358146454,-5.313196943459563
4040805871752189568,268.1703518525815,-34.929388296504975,8.217688,0.08880234,3.6146906354617583,-5.2868914069264745
4040817180488889216,268.119572029662,-34.71893061747171,11.770457,1.9321613,1.8540784893672946,-8.796682020398432
4040818039482726400,268.2847481075997,-34.686902309511574,12.348962,0.8745041,4.215083937187543,-5.199053572328749
4040818138178767360,268.29991199717995,-34.678372562613845,11.93064,0.8649969,2.807969315288485,-4.2908329537917975
4040818275617720576,268.24780795504046,-34.67568960364235,12.499371,0.7183647,1.0007607150491,-6.514049478517565
4040823292139528320,268.633782152523,-34.75379538412708,10.625245,0.6998825,3.8003843683288094,-5.4647121784872805
4040826526340512128,268.55993198625055,-34.727673085096036,6.861139,0.08463812,2.7878479524813633,-5.70610546447809
4040829167654783104,268.8296277200402,-34.67291384465745,11.656631,0.8240118,5.867841328303698,-0.9990564895419252
4040836834265838336,268.77999609438984,-34.462406527140544,12.384976,3.6531153,-0.39555238711775087,-8.33076182997856
4040841541553516672,268.4974685478447,-34.51000447246631,8.538539,0.26416588,2.9386949914266807,-6.6138306459033975
4040848997618860160,268.6954171410941,-34.41916278338734,11.639009,1.6752596,-8.441711283657938,-15.45582227678372
4040850573771774208,268.52113053164214,-34.4505673611577,12.484418,0.568408,0.42276359185173207,-2.5937653835013124
4040853563067334912,268.649735194869,-34.28657694477499,11.014524,1.6286516,1.7036796963087628,-9.977849172611311
4040853739313063424,268.5440172571604,-34.34091881129396,8.95551,6.12421,-0.7766441742448328,-2.0741877918062137
4040863115074622080,265.78195839426826,-36.85253900219297,12.424288,1.0913382,6.812550521373582,-2.871768511430579
5481140063752330112,94.5643813989622,-61.50686124227768,12.10624,0.68116665,2.4251892922112788,22.24410555785597
5481188167386514176,90.50534975444185,-62.18617224260031,10.693177,1.8410912,3.6669795633465543,3.875137703054668
5481268088138129536,91.22165682811415,-61.89917871575393,10.705594,1.1101418,-27.61297791209822,-17.29130199236197
5481276093956742016,91.64657802291958,-61.62854686601475,11.972532,1.1089792,-0.1361098658744429,4.649367037646087
5481287054713353216,91.3768806339063,-61.63707208163132,11.127263,0.7021494,-20.61211255312868,27.371380121983343
5481295541568641920,91.76317404189258,-61.48445966354604,10.333684,1.0805311,-9.055241703158877,-8.790053057159446
5481319829606658944,93.25025081969282,-61.469227765965215,11.900259,0.9708395,1.9527854502533306,0.5917897498702528
5481326598474959104,92.50160555004976,-61.55931725159731,10.639042,0.88428783,-20.91238608553006,38.746223653972095
5481328453900829312,92.69868133692086,-61.47992921308223,12.130373,0.4875574,0.7268477636065511,0.3913372057438995
5481370136560466048,94.05590024879785,-61.02312517762898,10.82823,0.5269699,-0.5463493152799184,8.143800214705323
5481385220486299648,93.31941003535499,-61.19664880854859,10.535503,0.5802498,-6.448528845865036,-1.4465528210416516
5481525098980897024,95.54854048067463,-61.259083829784686,12.234549,0.681036,-2.457050062860066,10.168439849705505
5481794788567353856,96.41320561909728,-60.15591749201883,11.768355,0.6740093,-6.220287056880662,-1.1889338839641646
5481798529482019968,95.07852356259492,-60.61106071211439,12.477281,0.59504795,-5.295844358101916,12.365195707862984
5481808085785929344,95.4632341575733,-60.41291077893705,11.737222,0.66542625,0.44158839138605915,4.405161218877226
5481864328380969856,96.48685100782045,-59.794354186543345,12.2626295,1.1586943,5.80160082910511,-12.08278971641308
5481926175910781056,98.07621290016438,-59.591817978506,10.08765,1.321888,7.298170537619943,34.457632646630415
5482008815377561728,90.29228858262594,-61.765267238564135,12.034887,0.7835808,31.309708408634116,12.347652028971751
5482040426336645376,91.1300488287731,-61.2774450735571,9.421139,1.6434708,-1.9510565147486851,0.9807256217749176
5482053135142766592,92.06671933842343,-61.244088530842404,11.459028,0.113928795,2.8143029591520947,6.165322353009232
5482060767301774464,91.26762063623084,-61.28220372139771,7.477285,1.8215628,17.276419757461245,21.66522934641187
132667245587072,45.0727955724553,0.969970782487376,7.4750457,1.2528615,29.432375835260864,-93.78045808765805
3059945155636992,49.52682046901489,4.9693466268505695,7.9459133,0.34144592,-17.43595121298122,-16.895574676811894
3622792029823232,46.81147509043474,5.019875451380022,7.8041253,1.7703657,-6.041828636286475,4.8099041091675625
9205253082371712,51.43472708961587,5.93534849669224,7.628119,0.14589834,63.1984538555198,-19.71895739734865
12314843763993984,54.47914080873418,9.932742443373881,7.025612,2.2481928,21.435817562344855,-20.64167796404694
12409848441118464,51.91627736248599,8.765044739305193,7.7271185,0.46963692,39.80554177149695,-35.13194887893737
458844241844352,45.268937647249174,1.5632481428309155,9.835661,,-4.675955541257631,-10.259970197829874
